Title,Ethnic Group,Place,Date,Subjects,Photographer's categories,Photographer's notes,Description,Photographer,Scan number,Institution,Department,Collection,Database information,Rights,Format,Date created,Date modified,Reference URL
"Lithuanian Wedding, Cleveland, OH, 1986",Lithuanian,"Cleveland, OH",1986,Dancing | Reception | Feast | Marriage customs and rites | Marriage rituals,Post-nuptial | Welcome | Newlyweds | Dancing | Folk dance | Circling,"Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","Having passed under a bridge of sashes, each embroidered sash dropped and lifted before they may step forward, Vilija and Ed are encircled by dancing guests holding the sash ends to bind them together. The dance is known as the ""rezginele.""","Thomas, Katrina",42.03.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/17/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/10
"Lithuanian Wedding, Chicago, IL, 1985",Lithuanian,Chicago,1985,Barring path | Prenuptial rites | Marriage customs and rites | Marriage rituals,Post-nuptial | Welcome | Newlyweds | Bridal attendants | Best man | Traditional apparel,"Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","Imposters, barring the path of the newlyweds to the reception, were bribed by Paul's best man with a bottle of Scotch so that Susan and Paul can walk to their reception under a bridge of embroidered sashes, held by their friends.  ","Thomas, Katrina",42.02.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/17/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/11
"Lithuanian Wedding, Chicago, IL, 1985",Lithuanian,"Chicago, IL",1985,Marriage customs and rites | Marriage rituals | Wedding costume,Dressing and veiling | Bride | Bridegroom | Traditional apparel | Grandparents,"Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","Susan and Paul wear traditional dress for their wedding.  The bride's dress, which is white with blue embroidery, was made by a master weaver of Chicago's Lithuanian community.  The bridegroom's highland attire is that of the area of Aukstaitija from which his grandparents came.","Thomas, Katrina",42.01.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/17/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/12
"Lithuanian Wedding, Chicago, IL, 1985",Lithuanian,"Chicago, IL",1985,Capping ceremony | Wedding costume | Wedding costume--Wedding dress | Marriage customs and rites | Marriage rituals,Post-nuptial | Welcome | Newlyweds | Bread and salt | Parents,"Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","In a ceremony known as ""nuometavimas,"" Susan's maiden wreath of rue -- the national flower ""ruta"" and also a symbol of purity, innocence and maidenhood -- is removed and she is dressed in a wimple traditionally worn by married women.","Thomas, Katrina",42.04.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/17/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/13
"Lithuanian Wedding, Horsham, PA, 1985",Lithuanian,"Horsham, PA",1985,Food ceremony--Wedding cake | Marriage customs and rites | Marriage rituals,"Feast and reception | Newlyweds | Sharing food, cake","Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","Danute and Vitas share ""raguolis,"" a tall hollow wedding bread, made of flour, eggs and butter which the newlyweds cut or break off. Depending on its size, the cake requires between 60 to 120 eggs.  Batter is dropped onto a rotating spit so that the cake bakes in layers which drip into the fire below, forming spikes on its surface.  It is also known as a ""horn cake.""","Thomas, Katrina",42.06.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/17/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/14
"Lithuanian Wedding, Chicago, IL, 1985",Lithuanian,"Chicago, IL",1985,Capping ceremony | Wedding costume | Marriage customs and rites | Marriage rituals,"Feast and reception | Newlyweds | Sharing food, cake","Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","With a broom given to Susan as a symbol of her housewifely duties, the matron sweeps around her husband Paul who relaxes with a pipe in mouth while his wife does housework.","Thomas, Katrina",42.05.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/17/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/15
"Lithuanian Wedding, Cleveland, OH, 1986",Lithuanian,"Cleveland, OH",1986,Dancing | Departure | Wedding costume | Marriage customs and rites | Marriage rituals,Feast and reception | Farewell | Music and song | Traditional apparel | Newlyweds | Kissing,"Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","During the ""Varteliai,"" Vilija and Edward are embraced as they leave the reception between two lines of the wedding guests, swaying to a waltz melody.  Their guests have formed gates to impede the newlyweds so they can exchange kisses before permitting them to pass.","Thomas, Katrina",42.14.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/18/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/16
"Lithuanian Wedding, Chicago, IL, 1985",Lithuanian,"Chicago, IL",1985,Departure | Marriage customs and rites | Marriage rituals,Feast and reception | Farewell | Music and song | Traditional apparel | Newlyweds | Kissing,"Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","The wedding the feast ends with the ""Varteliai,"" two lines of wedding guests holding hands to form gates for the departing couple to pass through. The gates momentarily halt Susan and Paul, who cannot leave until a kiss is exchanged.","Thomas, Katrina",42.13.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/18/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/17
"Lithuanian Wedding, Horsham, PA, 1985",Lithuanian,"Horsham, PA",1985,Departure | Marriage customs and rites | Marriage rituals,"Feast and reception | Bride | Bridegroom | Fire, flame | Conjugal home | In-laws | Parents","Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","Danute is carrying a flame from her family hearth in order to light a candle held by the bridegroom Vitas.  It is a poignant moment, symbolizing her departure from her childhood home forever, bringing warmth and light to the strange new home of her in-laws.","Thomas, Katrina",42.15.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/18/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/18
"Lithuanian Wedding, Horsham, PA, 1985",Lithuanian,"Horsham, PA",1985,Marriage customs and rites | Marriage rituals,"Feast and reception | Bride | Bridegroom | Fire, flame | Conjugal home | In-laws | Parents","Perhaps one million Lithuanians now live in the U.S., the greatest number in Chicago, and have been emigrating since the 19th century. Most are Roman Catholic; some are Lutheran. The first wedding I photograph keeps the most traditions, the bride wearing national dress which was woven, embroidered, and sewn especially for her. The newlyweds enter the feast under traditional handwork, a bridge of embroidered sashes, held by their attendants. For them, special dances are performed, and there are customs welcoming the bride to housewifely duties. They share a spikey wedding cake, baked over a fire. Recalling the past in the old country, the bride may carry a symbolic flame from the hearth of her childhood home, which after her marriage she might never ever visit, to the conjugal home where she will live as a wife. The newlyweds leave their celebration through gates formed by the wedding guests, exchanging kisses as they pass.--Katrina Thomas","Danute is carrying a flame from her family hearth in order to light a candle held by the bridegroom Vitas.  It is a poignant moment, symbolizing her departure from her childhood home forever, bringing warmth and light to the strange new home of her in-laws.","Thomas, Katrina",42.15a.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,12/18/2007,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/19
